,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,9,8,6,5,4,5,6,7,9,2,3,4,5,6,7,8,9,2,4,2,9,8,7,6,5,4,2,1,33,1,2,3,4,5,6,7,8,9,3,4,9,9,5,4,3,2,1,2,7,9,9,5,4,5,6,7,8,9,9,8,7,6,6,2,1,3,4,5,6,8,9,9,9,8,7,6,5,3,4,5,6,7,8,9,5,17,5,6,9,9,9,4,2,3,9,8,3,2,1,27
1,2,9,9,4,3,5,9,8,9,26,1,5,6,7,8,9,9,9,2,9,8,9,8,9,6,5,3,2,9,2,9,4,5,6,7,9,9,2,1,9,8,7,6,9,4,9,2,4,6,7,8,9,3,4,9,9,9,9,8,7,6,5,4,1,63,2,3,4,6,7,8,9,9,9,8,8,7,2,7,6,7,8,9,7,6,5,6,7,8,9,8,9,3,9,8,7,4,3,2,2
2,3,9,8,9,2,9,8,9,9,1,2,3,8,9,9,9,9,8,9,8,7,8,9,8,9,6,5,9,8,9,8,9,6,7,8,9,5,4,0,3,9,8,9,8,9,8,9,9,9,8,9,1,2,9,8,8,7,8,9,6,5,4,3,2,1,2,3,4,5,6,7,8,9,5,4,3,2,64,4,5,6,7,8,9,7,6,7,8,9,8,7,8,9,9,9,6,5,4,5,3
3,9,8,7,8,9,8,7,8,8,9,3,4,7,8,9,9,8,7,8,7,6,7,8,7,9,7,9,8,7,6,7,8,9,8,9,4,3,2,1,2,4,9,8,7,6,7,9,8,8,9,1,0,1,9,7,8,6,9,8,9,6,5,4,3,2,6,4,9,6,7,8,9,9,9,5,4,3,2,3,4,7,8,9,9,8,8,8,9,3,7,6,7,8,9,8,7,6,6,6,4
4,8,7,6,6,8,5,6,6,7,8,9,5,6,9,9,8,7,6,7,4,5,6,7,6,7,9,9,9,6,5,6,7,9,9,9,9,5,6,8,9,9,8,7,6,5,9,8,7,7,8,9,9,9,7,6,7,5,6,7,8,9,6,5,5,4,5,6,8,9,8,9,9,8,7,6,8,6,3,6,7,8,9,8,7,9,9,9,3,2,4,5,6,7,8,9,9,8,7,7,5
5,6,5,4,5,3,4,4,5,8,8,9,6,7,9,9,9,8,5,4,3,4,5,4,5,8,9,9,8,5,4,5,6,8,9,9,8,9,7,9,9,9,7,6,5,4,3,4,5,6,7,9,8,8,6,5,4,4,5,6,7,8,9,6,6,5,9,7,9,7,9,4,5,9,8,7,6,5,4,5,6,9,9,7,6,5,4,3,2,38,5,6,7,8,9,3,4,9,9,8,9
6,7,4,3,2,72,2,3,4,5,7,8,9,8,9,9,9,9,6,6,2,74,2,3,4,7,8,9,7,6,3,4,5,9,9,8,7,8,9,9,9,8,9,5,4,3,2,3,4,5,6,9,7,6,5,4,3,2,4,5,6,7,9,7,7,9,9,8,9,6,5,3,4,6,9,8,8,6,7,6,7,8,9,8,9,6,5,7,4,2,3,7,8,9,5,4,9,8,8,9,9
7,8,9,4,3,2,3,4,5,6,8,9,9,9,7,8,9,9,8,4,3,2,4,5,5,6,7,9,9,5,4,7,6,9,8,7,6,7,8,9,8,7,8,9,5,4,3,4,8,6,7,9,8,8,6,5,5,3,4,6,7,8,9,8,9,9,9,9,8,4,3,2,1,5,6,9,9,7,8,9,8,9,9,9,8,9,6,9,4,3,5,6,7,8,9,9,8,7,6,7,8
8,9,6,5,4,4,4,8,7,9,9,9,8,7,6,5,9,8,7,5,4,8,5,6,6,9,8,9,8,9,5,6,7,8,9,6,5,6,7,9,8,6,7,8,9,5,4,5,8,7,9,9,9,9,7,6,6,4,5,7,8,9,5,9,9,7,9,8,7,5,4,3,3,4,7,8,9,8,9,9,9,9,9,8,7,8,9,8,9,4,5,6,7,8,9,8,8,6,5,6,7
9,8,7,8,6,5,6,9,8,9,3,4,9,8,5,4,3,9,7,6,8,7,6,7,8,9,9,8,7,9,6,7,8,9,6,7,4,1,2,3,4,5,6,7,8,9,5,6,9,8,9,8,9,9,9,8,7,6,7,9,9,3,4,9,8,6,7,9,8,6,5,6,4,5,6,8,9,9,9,9,8,9,8,7,6,9,8,7,8,9,9,7,8,9,8,7,6,5,4,5,6
10,9,8,8,7,6,7,8,9,1,2,9,8,7,6,5,6,9,8,7,9,8,9,8,9,9,9,7,6,8,9,9,9,6,5,4,3,82,4,5,6,6,8,9,9,8,6,7,8,9,6,7,8,9,9,9,8,7,8,9,9,2,9,8,9,5,6,9,8,7,6,8,5,6,7,9,0,1,9,8,7,8,9,6,5,3,4,5,7,7,8,9,9,9,9,8,5,4,3,4,5
11,7,9,9,8,7,8,9,9,14,4,5,9,9,7,9,9,7,9,8,9,9,2,9,9,9,8,6,5,6,7,8,9,7,7,3,2,1,2,3,4,7,8,9,8,9,9,8,9,4,5,6,7,9,8,7,9,8,9,7,8,9,8,7,3,4,5,6,9,8,8,7,6,7,8,9,9,9,8,6,5,7,8,9,4,2,2,4,5,6,9,9,9,9,8,7,6,5,2,3,4
12,6,5,4,9,8,9,7,8,9,5,6,7,8,9,8,8,6,5,9,9,9,2,9,8,6,6,5,4,5,6,9,9,8,6,5,3,2,3,4,5,6,9,9,7,6,5,9,21,3,4,6,9,8,7,6,5,9,5,6,7,8,9,6,4,5,9,7,8,9,9,8,9,8,9,9,8,7,6,5,4,5,6,9,9,0,1,2,4,5,6,8,9,9,9,9,5,2,1,2,3
13,7,4,3,2,9,5,6,7,8,9,7,8,9,9,7,7,5,4,6,7,8,9,8,7,4,3,2,3,4,6,7,9,9,9,6,5,4,4,7,6,7,8,9,8,9,3,2,1,2,9,9,8,7,6,5,4,5,4,5,7,8,9,7,5,9,8,9,9,1,3,9,9,9,4,2,9,9,7,4,3,5,6,8,8,9,4,3,5,9,7,9,8,9,9,8,4,3,52,1,4
14,8,5,1,45,3,4,6,9,9,9,8,9,8,7,6,5,4,3,4,5,9,8,7,5,3,2,1,2,3,4,6,8,9,8,9,6,5,5,8,7,8,9,4,9,8,9,3,2,9,8,9,9,8,5,4,3,65,2,3,6,8,9,8,9,8,7,8,9,3,9,8,9,9,9,1,2,9,6,5,2,4,5,6,7,8,9,4,9,8,9,8,7,9,8,7,6,7,9,2,5
15,4,3,2,1,2,4,5,8,9,9,9,9,9,6,5,4,3,2,9,9,9,9,8,6,2,1,89,1,2,3,4,5,6,7,8,9,7,6,7,8,9,4,3,8,7,8,9,9,9,7,8,9,7,6,5,4,3,4,4,5,7,8,9,8,7,6,8,9,9,8,7,6,9,8,9,9,8,5,4,3,4,5,7,8,9,9,9,8,7,8,9,6,7,9,8,7,9,8,9,6
16,5,4,3,4,5,5,6,7,8,9,8,9,8,7,6,5,6,9,8,8,9,7,5,4,3,2,1,4,3,4,5,6,7,8,9,9,8,7,8,9,5,3,2,3,6,7,9,8,7,6,7,9,8,7,6,5,7,6,5,6,8,9,6,7,9,5,6,8,9,9,8,5,6,7,9,8,7,6,6,4,5,6,7,9,9,9,9,8,6,6,4,5,6,7,9,8,9,7,9,7
17,6,5,4,5,7,8,7,8,9,6,7,8,9,9,7,6,9,8,7,7,9,8,6,5,4,3,6,5,7,6,9,7,8,9,9,9,9,8,9,8,7,2,1,2,5,9,8,7,6,5,4,3,9,8,7,6,7,8,6,7,9,4,5,6,3,4,6,6,7,9,6,4,3,8,9,9,8,7,6,5,6,7,8,9,9,8,7,6,5,4,38,4,5,6,7,9,7,6,8,9
18,7,6,5,6,8,9,8,9,4,5,8,9,9,9,8,9,8,7,6,5,4,9,7,7,5,8,7,8,8,7,8,9,9,7,8,9,9,9,8,7,6,5,4,3,4,5,9,8,7,4,3,2,1,9,8,7,8,8,7,8,9,3,2,7,2,3,4,5,7,8,9,5,4,9,8,8,9,8,7,9,7,8,9,4,3,9,9,8,6,6,6,5,6,7,9,8,6,5,7,4
19,8,7,8,8,9,2,9,5,3,4,7,8,9,9,9,9,9,8,7,4,3,3,9,8,9,9,8,9,9,8,9,4,5,6,7,8,9,8,9,8,7,6,5,9,9,6,9,5,4,3,2,1,38,1,9,8,9,9,8,9,3,2,1,68,1,4,5,6,7,8,9,6,9,8,7,7,8,9,8,9,9,9,9,9,5,9,9,8,7,7,7,6,9,9,8,7,5,4,2,3
20,9,8,9,9,2,1,9,6,4,5,6,7,8,9,9,9,8,7,6,5,2,2,3,9,7,8,9,6,5,9,4,3,4,5,7,8,9,7,9,9,9,7,9,8,7,9,8,9,5,4,3,2,5,3,4,9,7,6,9,8,9,3,2,1,2,3,5,6,8,9,9,9,8,7,6,6,7,7,9,8,7,8,9,8,9,8,9,9,8,8,9,9,8,7,7,6,4,5,1,2
21,8,9,8,9,3,9,8,7,9,6,7,8,9,9,9,8,9,8,2,1,72,1,2,3,6,7,8,9,9,8,9,4,5,7,9,9,8,6,7,8,9,9,8,7,6,8,7,7,9,9,4,8,5,4,9,8,7,5,3,7,8,9,4,2,4,7,6,7,8,9,9,8,7,6,5,5,5,6,8,9,6,9,8,7,6,7,8,9,9,9,2,9,8,6,5,4,2,1,50,4
22,7,6,7,8,9,9,9,9,8,9,9,9,4,9,8,7,6,5,4,2,1,2,9,4,5,6,7,8,9,7,9,9,6,8,9,8,7,5,6,7,9,8,7,6,5,4,5,6,7,8,9,7,6,9,8,9,8,6,5,6,8,9,4,3,5,6,7,8,9,9,9,8,8,5,4,3,4,5,9,7,5,7,6,5,4,5,6,9,8,9,5,9,8,7,6,7,3,3,2,3
23,2,4,5,6,9,8,8,6,7,9,8,9,1,2,9,9,8,6,5,3,2,9,8,9,6,7,9,9,5,6,7,8,9,9,9,9,9,6,7,8,9,9,2,1,2,3,4,5,6,7,8,9,9,8,7,7,9,8,7,7,9,6,5,7,7,9,8,9,9,8,7,7,7,6,3,2,4,6,9,9,4,3,2,1,2,3,5,6,7,9,9,9,9,8,7,6,5,4,3,4
24,1,3,6,9,8,7,6,5,6,7,7,8,9,4,9,8,7,6,5,4,5,6,7,8,9,8,9,5,4,6,6,7,8,9,8,9,8,9,9,9,9,8,7,61,1,2,3,5,7,9,9,8,9,7,6,5,4,9,9,8,9,7,6,9,9,7,9,9,8,7,6,5,4,3,2,79,3,6,7,8,9,2,1,46,1,2,3,4,5,9,8,9,9,9,8,7,9,8,7,5
25,15,1,9,8,9,8,5,4,5,6,6,6,7,9,9,9,8,7,6,5,6,9,9,9,9,9,6,4,3,4,5,6,9,8,7,6,7,8,8,9,9,9,6,4,3,3,7,6,7,9,8,7,8,9,5,4,2,1,2,9,9,8,9,6,13,6,7,8,9,8,8,6,5,4,3,2,4,5,6,7,8,9,2,3,3,3,9,5,9,9,7,8,9,9,9,8,9,9,8,9
26,1,9,8,7,6,5,4,3,2,7,4,5,6,7,8,9,9,9,7,7,7,8,9,9,8,9,4,3,2,3,6,9,8,7,6,5,6,4,6,9,8,7,6,5,4,5,6,7,8,9,7,6,9,8,9,2,1,0,3,7,8,9,8,7,6,7,8,9,9,9,8,7,6,5,4,6,5,6,7,8,9,6,5,4,6,7,8,9,8,7,6,7,8,9,9,9,9,8,9,8
27,9,8,9,8,9,5,4,3,80,2,3,4,7,9,9,5,3,9,8,9,8,9,5,6,7,8,9,9,1,9,7,9,8,6,5,4,3,2,1,2,9,8,9,8,5,6,7,8,9,3,4,5,6,7,8,9,3,1,2,6,7,8,9,8,7,8,9,8,7,5,9,8,7,6,5,7,6,8,9,9,9,8,6,5,8,9,9,9,7,6,5,6,7,8,9,9,9,7,6,7
28,8,7,5,9,8,6,5,5,2,3,4,5,6,7,8,9,1,9,9,7,9,5,4,5,6,7,9,8,9,8,9,9,9,7,6,7,2,1,65,1,2,9,8,7,6,8,9,9,57,2,3,4,7,8,9,5,4,2,4,5,6,7,8,9,8,9,8,7,6,4,5,9,8,7,9,8,9,9,9,9,9,9,8,9,9,1,2,9,7,5,4,5,9,9,9,8,7,6,5,8
29,8,6,4,9,8,7,6,4,3,4,5,6,8,9,9,9,9,8,7,6,7,1,2,3,7,9,8,7,8,7,8,9,9,8,7,8,3,2,1,3,4,9,9,9,7,9,3,2,1,3,6,5,6,7,9,6,6,3,4,7,7,8,9,2,9,4,9,9,4,30,6,7,9,8,9,9,8,7,9,8,9,9,9,7,8,9,9,8,7,4,40,4,8,9,9,9,8,7,4,3
30,9,4,3,2,9,8,7,6,7,8,6,7,8,9,6,8,24,9,7,5,3,2,3,4,8,9,7,6,5,6,7,8,9,9,6,5,4,3,2,4,6,8,9,9,8,9,4,5,2,3,7,6,8,8,9,7,6,4,5,9,8,9,9,1,2,3,9,8,7,4,6,9,9,9,2,3,4,6,9,7,8,9,4,6,7,9,8,7,6,5,4,5,6,8,9,8,9,9,3,2
31,8,6,3,1,48,9,8,7,8,9,7,8,9,8,4,2,1,9,8,6,4,3,4,6,9,7,6,5,4,5,6,9,9,8,7,8,5,4,6,5,6,7,8,9,9,6,5,4,3,4,8,7,9,9,9,8,7,5,6,7,8,9,9,2,3,9,8,7,6,5,7,8,9,0,1,5,9,9,8,6,7,9,3,2,3,5,9,8,7,9,5,6,7,8,9,7,9,8,9,15
32,6,5,4,2,3,5,9,8,9,9,8,9,7,6,5,4,3,4,9,7,9,9,5,9,8,9,7,6,5,6,7,8,9,9,9,8,7,5,8,9,7,8,9,9,8,7,9,7,6,5,6,8,9,2,1,9,8,9,9,9,9,8,7,9,4,5,9,8,7,6,7,8,9,2,3,9,8,9,7,5,9,8,9,0,9,9,9,9,9,8,7,8,9,9,3,5,6,7,8,9
33,7,8,5,3,4,5,7,9,7,9,9,9,8,7,6,5,4,5,6,9,8,8,9,8,7,9,9,7,6,7,8,9,5,4,1,9,8,7,9,9,8,9,1,5,9,8,9,9,8,6,7,9,9,3,4,9,9,8,7,9,8,7,6,8,9,6,9,9,8,7,8,9,4,3,9,8,7,6,5,4,5,7,8,9,8,8,9,9,9,9,8,9,1,0,2,4,5,6,7,8
34,8,9,6,4,5,6,8,9,6,4,3,2,9,9,7,6,8,7,9,8,7,7,5,3,5,9,9,8,7,8,9,5,4,3,2,3,9,8,9,9,9,4,3,9,8,9,6,4,9,7,8,9,7,9,9,7,8,7,6,4,9,8,7,9,9,9,8,9,9,9,9,6,5,9,8,7,6,5,4,3,4,6,7,9,7,6,9,8,8,9,9,4,3,2,3,4,9,7,8,9
35,9,8,7,5,6,7,8,9,7,5,4,3,9,7,9,9,9,9,8,7,6,4,4,2,4,8,9,9,8,9,9,9,5,9,4,4,5,9,9,8,9,5,9,8,7,6,4,3,9,8,9,5,6,9,8,6,8,5,4,3,4,9,9,7,9,8,7,9,7,6,7,9,9,9,9,8,7,6,5,1,2,7,8,9,6,5,4,6,7,8,9,6,5,4,6,7,8,9,9,4
36,2,9,9,6,7,8,9,9,9,8,5,9,8,6,7,8,9,3,9,8,9,3,2,1,2,6,9,8,9,9,9,8,9,8,9,5,6,9,8,7,8,9,8,7,6,4,3,2,1,9,3,4,9,8,7,5,6,5,4,2,3,4,5,6,8,9,6,5,4,5,6,7,8,9,9,9,8,7,7,8,9,8,9,8,7,6,3,4,8,9,9,8,7,8,8,9,9,5,4,3
37,3,9,8,7,8,9,7,9,8,7,6,9,6,5,8,9,3,2,3,9,7,6,1,0,4,5,6,7,8,9,8,7,6,7,8,9,9,8,7,6,5,2,9,8,9,5,2,1,0,1,2,9,8,9,6,4,3,2,1,80,1,5,6,7,9,9,7,4,3,4,5,6,7,8,9,5,9,9,8,9,4,9,9,9,9,8,9,5,6,8,9,9,8,9,9,7,8,9,9,2
38,4,9,9,8,9,8,6,4,9,8,9,8,9,6,9,5,4,7,4,9,8,5,3,2,3,4,8,9,9,8,7,6,5,6,7,8,9,7,6,7,3,1,2,9,7,6,8,2,1,2,9,8,7,8,9,5,4,3,2,1,2,3,5,6,7,8,9,3,2,3,4,8,9,9,5,4,5,8,9,4,3,2,9,7,8,9,7,6,7,8,9,5,9,7,6,5,6,7,8,9
39,9,8,9,9,8,9,4,3,2,9,8,7,8,9,7,6,5,6,9,8,7,6,7,6,5,6,7,8,9,9,8,5,4,5,6,7,8,9,5,4,3,2,4,9,8,7,9,4,2,9,8,9,6,7,8,9,5,4,3,2,3,4,6,7,8,9,1,71,1,4,5,6,7,8,9,5,6,7,8,9,4,9,8,6,9,9,8,7,9,9,3,4,9,8,7,6,7,8,9,0
40,8,7,8,9,7,8,9,4,9,8,9,6,7,9,9,7,6,7,8,9,8,7,8,8,6,7,8,9,2,9,8,7,5,8,9,8,9,7,6,5,4,3,4,5,9,8,9,6,9,8,7,6,5,6,9,9,7,5,4,3,4,5,6,8,9,3,2,3,2,5,7,8,9,9,7,6,9,8,9,2,9,8,7,5,7,4,9,8,9,2,1,0,1,9,8,8,9,9,2,1
41,7,6,4,5,6,7,8,9,9,7,6,5,6,7,8,9,7,8,9,8,9,8,9,9,9,8,9,2,1,2,9,8,6,7,9,9,9,8,7,6,5,4,6,6,8,9,8,7,8,9,9,7,8,7,9,8,7,6,5,4,5,8,7,9,5,4,5,4,3,4,6,7,8,9,8,9,8,9,9,1,0,9,8,4,3,3,4,9,4,3,2,9,2,3,9,9,7,8,9,9
42,8,7,5,6,7,8,9,9,8,7,5,4,5,6,7,8,9,9,8,7,6,9,4,5,6,9,8,9,2,3,4,9,9,8,9,1,0,9,8,8,6,8,7,8,9,9,9,8,9,8,9,8,9,8,9,9,9,8,7,8,6,7,9,8,7,5,6,6,4,5,9,8,9,9,9,8,7,7,8,9,9,8,7,3,2,2,3,5,9,4,9,8,9,5,9,8,6,6,7,8
43,9,8,6,9,8,9,8,7,6,5,4,3,4,5,6,7,9,8,7,6,5,4,3,4,5,6,7,8,9,4,5,6,7,9,9,9,9,9,9,9,7,9,8,9,7,9,9,9,8,7,8,9,9,9,9,9,5,9,8,9,7,9,2,9,7,6,7,8,5,6,7,9,9,8,9,6,5,6,5,6,7,9,6,4,1,0,1,9,8,9,9,7,9,9,8,7,5,5,6,7
44,3,9,7,8,9,5,9,9,7,7,7,5,6,6,8,9,7,9,8,9,6,3,2,3,3,4,5,7,8,9,9,7,8,9,9,8,7,8,5,9,8,9,9,5,6,7,9,8,9,6,5,6,9,9,8,8,4,5,9,9,8,9,3,9,8,7,8,9,7,8,9,9,9,7,6,5,4,3,4,5,6,9,8,5,2,1,9,9,7,8,7,6,7,8,9,5,4,3,4,5
45,2,9,8,9,5,4,3,2,9,8,9,8,7,8,9,7,6,7,9,8,9,2,1,65,1,5,5,6,9,9,8,9,9,9,8,7,6,5,4,5,9,9,9,8,7,9,8,7,6,5,4,9,8,7,6,7,3,4,3,4,9,7,9,8,9,8,9,9,8,9,9,9,8,9,8,6,3,2,3,4,9,8,9,6,3,9,8,7,6,9,7,5,6,7,8,9,3,2,3,4
46,1,0,9,7,4,3,2,1,0,9,5,9,8,9,2,3,5,9,8,7,8,3,2,4,2,3,4,5,9,8,7,8,9,9,9,6,5,4,3,6,7,9,9,9,8,9,9,9,5,4,2,1,9,6,5,6,2,1,2,3,4,5,6,7,9,9,2,3,9,8,9,6,7,8,9,5,4,0,4,9,8,7,6,5,4,9,9,6,5,4,6,4,5,6,7,8,9,3,4,5
47,2,9,7,6,5,4,3,4,1,3,4,5,9,9,1,9,6,7,9,6,5,4,6,5,3,5,6,9,8,7,6,9,8,9,8,7,5,4,2,9,9,8,8,9,9,9,9,8,6,5,9,0,9,5,4,2,1,68,1,5,6,7,8,9,1,0,1,9,8,7,8,5,6,7,8,9,5,1,2,3,9,9,8,6,9,8,8,6,4,3,1,3,4,5,8,9,8,9,7,6
48,9,8,9,8,8,6,5,5,2,4,5,6,7,8,9,8,9,9,9,9,6,5,7,7,5,7,8,9,9,6,5,6,7,8,9,7,6,5,9,8,7,6,7,8,9,8,9,9,7,9,7,9,8,7,5,6,6,3,2,4,7,8,9,3,2,1,9,8,7,6,7,4,5,9,9,9,4,2,3,5,6,7,9,8,9,7,6,7,2,1,93,1,2,4,5,6,7,8,9,7
49,4,7,6,9,9,8,6,6,7,8,9,7,8,9,8,7,6,8,9,8,9,6,9,8,9,8,9,9,8,7,6,7,8,9,9,8,7,9,8,7,6,5,6,5,6,7,8,9,9,8,6,8,9,8,6,7,5,4,3,5,6,7,8,9,4,9,8,7,6,5,5,3,5,8,9,8,9,9,4,6,7,8,9,9,8,6,5,4,3,2,3,2,3,4,7,8,8,9,9,8
50,3,4,5,6,7,9,8,7,8,9,9,8,9,8,7,6,5,7,6,7,8,9,9,9,8,9,4,3,9,8,9,8,9,9,9,9,9,8,7,6,5,4,8,4,8,9,9,8,9,6,5,4,3,9,8,8,6,9,7,6,7,8,9,9,5,9,9,8,5,4,5,2,4,6,5,7,7,8,9,9,8,9,1,2,9,7,6,9,8,3,4,5,4,5,6,7,8,9,5,9
51,2,1,3,5,6,9,9,8,9,2,5,9,8,7,6,5,4,6,5,6,7,8,9,8,7,6,3,2,3,9,9,9,9,8,9,3,2,9,8,5,4,3,2,3,4,5,6,7,8,9,6,8,2,3,9,9,7,9,8,7,8,9,9,8,9,8,7,6,4,3,2,1,2,3,4,5,6,9,9,8,9,3,2,9,8,9,9,8,7,6,5,6,9,6,8,8,9,4,3,4
52,4,3,9,6,9,8,9,9,0,1,4,5,9,8,5,4,3,2,3,4,5,6,8,9,6,5,4,3,9,8,9,8,9,7,8,9,1,0,9,6,5,2,1,2,3,4,5,6,7,8,9,2,1,31,1,9,8,9,9,9,9,7,6,7,8,9,6,5,3,2,1,98,1,2,3,7,9,9,8,7,6,5,9,8,7,9,9,9,8,7,6,7,8,7,9,9,8,9,2,3
53,5,9,8,9,8,7,8,9,1,2,3,9,8,7,6,4,2,1,2,3,4,8,9,9,8,7,9,9,8,7,6,7,7,6,7,8,9,9,8,7,4,3,77,1,2,3,9,7,9,9,6,3,3,1,2,3,9,9,9,8,9,9,4,5,9,8,7,6,4,3,2,1,2,4,5,6,7,8,9,8,7,9,8,7,6,7,9,9,9,8,7,8,9,8,9,6,7,8,9,4
54,6,9,7,5,5,6,7,8,9,3,9,8,7,6,5,3,1,95,5,4,7,9,9,9,9,9,8,7,6,5,4,5,4,5,6,7,8,9,9,5,3,2,1,2,3,9,8,9,9,6,5,4,3,2,3,9,9,8,7,6,7,8,9,6,7,9,8,9,6,5,4,3,4,7,6,7,8,9,9,9,9,8,7,6,5,7,8,9,9,9,8,9,6,9,5,5,6,7,8,9
55,9,8,6,4,3,4,8,9,9,9,8,7,6,5,4,3,2,3,5,5,6,7,8,9,9,9,9,9,6,4,3,2,3,4,9,8,9,8,7,6,5,4,2,3,9,8,7,8,8,9,6,9,4,3,9,8,6,5,4,4,9,7,9,7,8,9,9,9,8,7,6,4,5,8,9,8,9,9,8,9,9,9,6,5,4,5,6,7,8,9,9,6,5,4,3,4,5,7,9,8
56,7,9,4,3,2,3,9,8,9,8,9,9,7,8,6,4,3,4,6,7,7,8,9,9,8,9,9,8,7,6,7,3,6,7,8,9,9,9,9,8,6,5,3,9,9,7,6,7,7,8,9,8,9,4,9,6,5,4,3,3,8,6,8,9,9,1,0,2,9,7,6,5,6,9,9,9,5,6,7,9,8,7,7,4,3,5,7,8,9,9,9,5,4,3,1,0,2,9,8,7
57,6,5,2,1,0,9,8,7,8,7,6,9,8,7,6,5,4,8,9,8,9,9,9,8,7,8,9,9,9,7,6,4,5,6,7,8,9,4,5,9,7,6,9,8,7,6,5,6,6,5,6,7,8,9,8,7,8,4,2,1,3,5,7,8,9,5,4,3,9,8,9,9,7,8,9,4,3,2,9,8,7,6,5,4,2,3,4,7,8,9,8,6,8,3,2,1,9,8,7,6
58,6,4,3,2,9,8,7,6,5,4,5,6,9,8,9,6,5,7,9,9,7,8,9,9,6,4,3,2,9,8,7,6,7,8,9,9,6,5,6,9,8,9,8,7,6,5,4,3,3,4,7,8,9,8,9,8,3,2,1,72,2,4,5,9,7,6,8,5,6,9,6,9,8,9,8,9,0,1,3,9,8,9,4,2,1,4,5,6,9,9,9,7,9,5,3,3,9,8,6,5
59,7,8,4,3,4,9,9,8,6,9,6,7,8,9,8,7,6,7,8,9,6,7,9,8,7,5,6,3,5,9,8,7,8,9,9,8,7,8,7,8,9,8,7,6,5,7,3,2,1,3,8,9,5,6,9,9,4,3,2,1,2,3,6,9,8,7,7,6,7,9,5,4,9,6,7,8,9,2,9,8,9,8,7,3,2,3,4,5,6,8,9,8,9,6,9,4,9,6,5,4
60,7,6,5,4,9,8,7,9,9,8,7,8,9,7,9,8,9,8,9,6,5,5,9,8,7,6,8,9,9,8,9,8,9,9,9,9,8,9,8,9,8,7,6,5,4,3,2,1,94,1,2,3,4,9,8,9,5,4,5,3,4,6,7,8,9,9,8,7,9,8,9,3,4,5,6,9,9,9,9,7,8,9,6,5,4,5,5,6,7,9,8,9,8,9,8,9,8,6,4,3
61,8,7,6,5,9,7,6,5,3,9,8,9,5,6,9,9,9,9,6,5,4,4,3,9,8,7,9,8,8,7,9,9,9,8,9,9,9,6,9,4,9,8,9,9,8,7,3,2,1,7,8,4,5,6,7,8,9,6,6,4,5,6,8,9,8,9,9,9,8,7,8,9,7,6,7,8,9,8,7,6,7,8,9,6,6,6,6,7,9,8,7,8,7,6,7,8,9,5,3,2
